ASV_names	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	NA
ASV2	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	NA
ASV3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Microbacter	NA
ASV4	Bacteria	Firmicutes	Clostridia	Clostridiales	Caloramatoraceae	Fonticella	NA
ASV5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Thiomonas	NA
ASV6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Microbacter	NA
ASV7	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV8	Bacteria	Firmicutes	Clostridia	Clostridiales	Caloramatoraceae	Fonticella	NA
ASV9	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	NA
ASV10	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	NA
ASV11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Microbacter	NA
ASV12	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Thiomonas	NA
ASV14	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	NA
ASV15	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV16	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV17	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV18	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV19	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	NA
ASV20	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	NA
ASV21	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	NA
ASV22	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	NA
ASV23	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
ASV24	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	NA
ASV25	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV26	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	NA
ASV27	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	NA
ASV28	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV29	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV30	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV31	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	NA
ASV32	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV33	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV34	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV35	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV36	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	NA
ASV37	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV38	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV39	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV40	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
ASV41	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
